,company,Job
214,Vaneduc,Docentes Universitarios para Facultad Ciencias Económicas
215,Veritran,Customer Success Manager - AR
216,St. Matthew's College,Middle & Senior School - Profesor/a de Economía
217,Alejandra Molina,Ingeniero/a comercial - industria autopartista
218,Vaneduc,Docentes Universitarios para Facultad Ciencias Económicas - UAI Buenos Aires
219,Bumeran Selecta,EJEC COMERCIAL para AMBA Canal DISTRIBUIDOR Alimentos
220,Consejo Profesional de Ciencias Económicas de la Ciudad Autónoma de Buenos Aires,Analista Sr de Riesgos para Empresa
221,Despegar,Sr. Customer Intelligence Analyst
222,Page Personnel,Auditor SOX
223,CONSULTORA ZIVOT,Team Leader de Medios Digitales (Capital Federal)
224,BDO Argentina,Consultor de Management Consulting
225,PwC Argentina,Analista de precios de transferencia Sr.
226,La Anónima,Analista de CX
227,HUMAN CONSULTING,SSR RISK & INSURANCE ANALYST
228,Despegar,Performance Marketing Manager - Performance Acquisition (SEM)
229,BullMetrix,Sr Paid Media
230,Verisure Argentina,Analista de Gestión de Recursos de Empresa
231,EBANX,Accounting Analyst SR | Argentina
232,PwC Argentina,Advisory – Consultor Junior para la industria de Servicios Financieros – Financial Services - Buenos Aires
233,Gi Group,Responsable de Procesos
234,Accenture Argentina,Data Scientist – Optimización | Manager
235,Despegar,Workforce management SSR
236,Despegar,Sr. Planning & Control Analyst - M&A e Integraciones
237,Manpower Argentina,Bilingual Tax analyst
238,PwC Argentina,Transfer pricing Jr.
239,NASEBY TURNHAM LIMITED,Analista Impositivo- Contable/ zona caba
240,Vaneduc,Docentes Universitarios para Facultad Ciencias Económicas - UAI Buenos Aires
241,Aper,Billing Coordinator
242,Raízen Argentina,Representante de Ventas Retail
243,RED BASA,"Oficial, Medio Oficial, Peón para mantenimiento"
244,NASEBY TURNHAM LIMITED,Analista Impositivo- Contable / Zona Caba
245,Navent,Ssr. Budget and Management Control
246,Suma 3 Consultores RRHH,Google Analytics Sr Analyst
247,aeros,Sales Engineer / Technical Account Manager (Google Cloud)
248,Despegar,Ssr Sourcing Air Assistant
249,Consejo Profesional de Ciencias Económicas de la Ciudad Autónoma de Buenos Aires,Senior en Auditoría Externa para Empresa
250,CONSULTORA ZIVOT,Team Leader de Medios Digitales (Capital Federal)
251,Despegar,Experience Design Manager
252,Kavak.com,Workforce Management Analyst
253,Sanofi,KAM Comercial
254,Puig,Tax Manager
255,Despegar,Sr Air Analyst
256,Despegar,Marketing Performance Sr Analyst
257,HUMAN CONSULTING,NEW BUSINESS DEVELOPMENT PROJECT LEADER
258,Despegar,Global Partners Senior Analyst
259,Consejo Profesional de Ciencias Económicas de la Ciudad Autónoma de Buenos Aires,Analista Sr de Reporting para Empresa
260,Despegar,Sr Marketing Performance Analyst
261,Flecha Bus,Analista Semi Senior de Planificacion Comercial
262,Bumeran Selecta,EJEC COMERCIAL para AMBA Canal DISTRIBUIDOR Alimentos
263,PwC Argentina,Solvers Tour Programme
264,Galpón De Ropa,Líder de tienda de indumentaria.
265,BullMetrix,Sr Performance Specialist orientado en apps
266,PayRetailers,Acquiring Relationship Manager
267,PwC Argentina,Gerente de Transaction Services
268,Despegar,Workforce management SSR Portugues
